left,mid,right,alg,ex_time
200, 152.0, 357.0, beam_d2, 1080
891, 75, 34, beam_d2, 1730
835, 39, 126, beam_d2, 1650
388, 252, 360, beam_d2, 1450
266, 317, 417, beam_d2, 1950
940, 13, 47, beam_d2, 1880
763, 122, 115, beam_d2, 1690
491, 45, 464, beam_d2, 1010
568, 327, 105, beam_d2, 2360
713, 92, 195, beam_d2, 1420
401, 98, 501, beam_d2, 1390
308, 327, 365, beam_d2, 2050
862, 48, 90, beam_d2, 1680
133, 209, 658, beam_d2, 2050
44, 32, 924, beam_d2, 2230
